Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
118,10/26/14 00:00:00,10/26/14 23:58:00,3.744824E+002,3.636579E+002,5.643096E+000,5.181322E+000,2.113337E+007,1.#INF00E+000,1.#INF00E+000,2.924004E+005
119,10/26/14 00:00:00,10/26/14 23:58:00,3.680526E+002,3.592151E+002,3.557225E+000,5.280247E+000,2.077052E+007,1.#INF00E+000,1.#INF00E+000,2.979831E+005
120,10/26/14 00:00:00,10/26/14 23:58:00,2.781795E+002,2.699833E+002,1.236822E+000,6.959427E+000,1.569866E+007,1.#INF00E+000,1.#INF00E+000,3.927453E+005
121,10/26/14 00:00:00,10/26/14 23:58:00,2.002029E+002,1.912555E+002,7.678267E-001,8.179564E+000,1.129816E+007,1.#INF00E+000,1.#INF00E+000,4.616019E+005
122,10/26/14 00:00:00,10/26/14 23:58:00,1.290954E+002,1.198549E+002,2.476641E-003,9.238026E+000,7.285314E+006,1.#INF00E+000,1.#INF00E+000,5.213347E+005
123,10/26/14 00:00:00,10/26/14 23:58:00,2.434506E+002,2.357892E+002,1.310978E-001,7.530300E+000,1.373878E+007,1.#INF00E+000,1.#INF00E+000,4.249616E+005
124,10/26/14 00:00:00,10/26/14 23:58:00,3.419270E+002,3.359966E+002,1.967006E-001,5.733735E+000,1.929616E+007,1.#INF00E+000,1.#INF00E+000,3.235751E+005
125,10/26/14 00:00:00,10/26/14 23:58:00,2.479344E+002,2.377404E+002,2.842089E+000,7.351905E+000,1.399182E+007,1.#INF00E+000,1.#INF00E+000,4.148942E+005
126,10/26/14 00:00:00,10/26/14 23:58:00,2.677668E+002,2.544077E+002,6.103803E+000,7.255309E+000,1.511103E+007,1.#INF00E+000,1.#INF00E+000,4.094429E+005
127,10/26/14 00:00:00,10/26/14 23:58:00,3.152559E+002,2.954735E+002,1.323407E+001,6.548311E+000,1.779101E+007,1.#INF00E+000,1.#INF00E+000,3.695445E+005
128,10/26/14 00:00:00,10/26/14 23:58:00,3.509565E+002,3.242855E+002,2.062497E+001,6.046078E+000,1.980572E+007,1.#INF00E+000,1.#INF00E+000,3.412017E+005
129,10/26/14 00:00:00,10/26/14 23:58:00,3.840909E+002,3.624570E+002,1.639923E+001,5.234727E+000,2.167562E+007,1.#INF00E+000,1.#INF00E+000,2.954143E+005
130,10/26/14 00:00:00,10/26/14 23:58:00,2.640132E+002,2.281389E+002,2.801605E+001,7.858260E+000,1.489920E+007,1.#INF00E+000,1.#INF00E+000,4.434696E+005
131,10/26/14 00:00:00,10/26/14 23:58:00,2.716097E+002,2.644156E+002,1.354321E-001,7.058635E+000,1.532790E+007,1.#INF00E+000,1.#INF00E+000,3.983439E+005
132,10/26/14 00:00:00,10/26/14 23:58:00,2.732438E+002,2.479350E+002,1.781719E+001,7.491615E+000,1.542012E+007,1.#INF00E+000,1.#INF00E+000,4.227785E+005
133,10/26/14 00:00:00,10/26/14 23:58:00,2.055945E+002,1.832417E+002,1.383372E+001,8.518995E+000,1.160243E+007,1.#INF00E+000,1.#INF00E+000,4.807572E+005
