Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
117,04/09/14 10:01:00,04/09/14 11:00:00,2.345489E+002,1.121657E+002,1.204586E+002,1.924697E+000,3.083824E+003,2.949625E+003,3.233912E+003,2.460772E+003
118,04/09/14 10:01:00,04/09/14 11:00:00,3.233584E+002,1.454406E+002,1.765136E+002,1.404248E+000,4.251482E+003,3.824656E+003,4.738805E+003,1.795365E+003
119,04/09/14 10:01:00,04/09/14 11:00:00,2.672867E+002,1.351481E+002,1.305375E+002,1.601000E+000,3.514257E+003,3.553996E+003,3.504499E+003,2.046918E+003
120,04/09/14 10:01:00,04/09/14 11:00:00,1.765768E+002,1.021735E+002,7.224756E+001,2.155801E+000,2.321614E+003,2.686860E+003,1.939607E+003,2.756244E+003
121,04/09/14 10:01:00,04/09/14 11:00:00,1.284479E+002,7.729581E+001,4.877320E+001,2.378843E+000,1.688819E+003,2.032651E+003,1.309398E+003,3.041409E+003
122,04/09/14 10:01:00,04/09/14 11:00:00,3.003807E+001,2.686322E+001,0.000000E+000,3.174852E+000,3.949374E+002,7.064232E+002,0.000000E+000,4.059126E+003
123,04/09/14 10:01:00,04/09/14 11:00:00,7.247105E+001,6.972283E+001,0.000000E+000,2.748222E+000,9.528419E+002,1.833504E+003,0.000000E+000,3.513670E+003
124,04/09/14 10:01:00,04/09/14 11:00:00,1.204427E+002,1.089986E+002,9.312874E+000,2.131150E+000,1.583568E+003,2.866342E+003,2.500197E+002,2.724728E+003
125,04/09/14 10:01:00,04/09/14 11:00:00,2.096797E+002,1.000588E+002,1.075784E+002,2.042387E+000,2.756846E+003,2.631251E+003,2.888124E+003,2.611242E+003
126,04/09/14 10:01:00,04/09/14 11:00:00,2.800415E+002,1.141965E+002,1.640275E+002,1.817540E+000,3.681956E+003,3.003030E+003,4.403592E+003,2.323769E+003
127,04/09/14 10:01:00,04/09/14 11:00:00,3.527370E+002,1.355218E+002,2.156947E+002,1.520510E+000,4.637749E+003,3.563823E+003,5.790685E+003,1.944009E+003
128,04/09/14 10:01:00,04/09/14 11:00:00,3.942582E+002,1.506595E+002,2.423157E+002,1.282965E+000,5.183665E+003,3.961900E+003,6.505370E+003,1.640302E+003
129,04/09/14 10:01:00,04/09/14 11:00:00,3.960750E+002,1.550262E+002,2.398374E+002,1.211387E+000,5.207552E+003,4.076731E+003,6.438837E+003,1.548788E+003
130,04/09/14 10:01:00,04/09/14 11:00:00,3.183555E+002,1.244194E+002,1.922245E+002,1.711548E+000,4.185705E+003,3.271861E+003,5.160590E+003,2.188257E+003
131,04/09/14 10:01:00,04/09/14 11:00:00,9.655566E+001,9.423631E+001,0.000000E+000,2.319349E+000,1.269504E+003,2.478136E+003,0.000000E+000,2.965345E+003
132,04/09/14 10:01:00,04/09/14 11:00:00,3.398535E+002,1.271017E+002,2.110856E+002,1.666216E+000,4.468358E+003,3.342398E+003,5.666948E+003,2.130298E+003
133,04/09/14 10:01:00,04/09/14 11:00:00,2.628348E+002,9.935380E+001,1.614727E+002,2.008281E+000,3.455724E+003,2.612711E+003,4.335006E+003,2.567636E+003
134,04/09/14 10:01:00,04/09/14 11:00:00,3.222897E+002,1.280840E+002,1.925499E+002,1.655788E+000,4.237432E+003,3.368232E+003,5.169325E+003,2.116966E+003
135,04/09/14 10:01:00,04/09/14 11:00:00,4.637944E+002,2.026505E+002,2.608725E+002,2.714124E-001,6.097920E+003,5.329107E+003,7.003560E+003,3.470075E+002
136,04/09/14 10:01:00,04/09/14 11:00:00,4.137918E+002,1.751981E+002,2.377675E+002,8.262315E-001,5.440492E+003,4.607191E+003,6.383268E+003,1.056357E+003
137,04/09/14 10:01:00,04/09/14 11:00:00,3.828563E+002,1.453900E+002,2.360704E+002,1.395888E+000,5.033755E+003,3.823327E+003,6.337707E+003,1.784677E+003
138,04/09/14 10:01:00,04/09/14 11:00:00,1.129300E+002,1.007924E+002,9.899938E+000,2.237658E+000,1.484791E+003,2.650541E+003,2.657804E+002,2.860901E+003
139,04/09/14 10:01:00,04/09/14 11:00:00,2.368950E+002,9.713287E+001,1.377957E+002,1.966489E+000,3.114671E+003,2.554307E+003,3.699356E+003,2.514204E+003
140,04/09/14 10:01:00,04/09/14 11:00:00,1.874774E+002,8.832221E+001,9.702287E+001,2.132324E+000,2.464933E+003,2.322613E+003,2.604742E+003,2.726229E+003
141,04/09/14 10:01:00,04/09/14 11:00:00,1.974264E+002,1.203262E+002,7.520146E+001,1.898819E+000,2.595742E+003,3.164222E+003,2.018909E+003,2.427687E+003
142,04/09/14 10:01:00,04/09/14 11:00:00,1.505215E+002,8.408298E+001,6.420717E+001,2.231287E+000,1.979040E+003,2.211134E+003,1.723749E+003,2.852756E+003
143,04/09/14 10:01:00,04/09/14 11:00:00,7.999612E+001,6.918715E+001,8.257348E+000,2.551628E+000,1.051781E+003,1.819417E+003,2.216824E+002,3.262319E+003
144,04/09/14 10:01:00,04/09/14 11:00:00,4.640752E+001,4.342606E+001,0.000000E+000,2.981465E+000,6.101612E+002,1.141977E+003,0.000000E+000,3.811876E+003
145,04/09/14 10:01:00,04/09/14 11:00:00,5.993613E+001,5.700688E+001,0.000000E+000,2.929253E+000,7.880340E+002,1.499112E+003,0.000000E+000,3.745123E+003
146,04/09/14 10:01:00,04/09/14 11:00:00,2.606699E+002,1.416489E+002,1.175270E+002,1.493992E+000,3.427260E+003,3.724947E+003,3.155210E+003,1.910106E+003
147,04/09/14 10:01:00,04/09/14 11:00:00,1.400742E+002,9.108746E+001,4.677904E+001,2.207732E+000,1.841681E+003,2.395331E+003,1.255862E+003,2.822640E+003
148,04/09/14 10:01:00,04/09/14 11:00:00,9.241709E+001,8.993617E+001,0.000000E+000,2.480917E+000,1.215090E+003,2.365055E+003,0.000000E+000,3.171914E+003
