Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
77,07/05/17 08:00:00,07/05/17 12:00:00,1.243041E+003,1.241719E+003,0.000000E+000,1.321917E+000,3.830459E+001,6.184476E+001,0.000000E+000,3.597300E+001
78,07/05/17 08:00:00,07/05/17 12:00:00,3.153337E+003,1.893222E+003,1.259906E+003,2.086082E-001,9.717078E+001,9.429334E+001,1.021263E+002,5.676804E+000
79,07/05/17 08:00:00,07/05/17 12:00:00,2.934438E+003,1.888634E+003,1.045587E+003,2.169424E-001,9.042537E+001,9.406485E+001,8.475390E+001,5.903602E+000
80,07/05/17 08:00:00,07/05/17 12:00:00,2.744977E+003,1.913287E+003,8.315179E+002,1.717876E-001,8.458708E+001,9.529269E+001,6.740175E+001,4.674816E+000
81,07/05/17 08:00:00,07/05/17 12:00:00,2.247318E+003,1.780715E+003,4.661897E+002,4.128858E-001,6.925160E+001,8.868986E+001,3.778872E+001,1.123576E+001
82,07/05/17 08:00:00,07/05/17 12:00:00,1.840905E+003,1.634918E+003,2.053144E+002,6.721694E-001,5.672790E+001,8.142833E+001,1.664252E+001,1.829158E+001
83,07/05/17 08:00:00,07/05/17 12:00:00,1.426500E+003,1.422882E+003,2.577329E+000,1.040418E+000,4.395790E+001,7.086769E+001,2.089149E-001,2.831265E+001
84,07/05/17 08:00:00,07/05/17 12:00:00,3.235750E+003,1.816711E+003,1.418690E+003,3.485281E-001,9.971035E+001,9.048266E+001,1.149971E+002,9.484410E+000
85,07/05/17 08:00:00,07/05/17 12:00:00,3.325500E+003,1.927921E+003,1.397434E+003,1.453774E-001,1.024760E+002,9.602157E+001,1.132741E+002,3.956119E+000
86,07/05/17 08:00:00,07/05/17 12:00:00,3.121801E+003,1.953260E+003,1.168442E+003,9.888995E-002,9.619900E+001,9.728360E+001,9.471234E+001,2.691068E+000
87,07/05/17 08:00:00,07/05/17 12:00:00,2.618441E+003,1.849139E+003,7.690134E+002,2.888689E-001,8.068784E+001,9.209773E+001,6.233521E+001,7.860921E+000
88,07/05/17 08:00:00,07/05/17 12:00:00,2.084407E+003,1.692368E+003,3.914705E+002,5.687131E-001,6.423147E+001,8.428965E+001,3.173208E+001,1.547625E+001
89,07/05/17 08:00:00,07/05/17 12:00:00,1.442064E+003,1.430046E+003,1.099275E+001,1.025293E+000,4.443754E+001,7.122453E+001,8.910574E-001,2.790104E+001
90,07/05/17 08:00:00,07/05/17 12:00:00,2.055021E+003,1.246660E+003,8.070651E+002,1.295448E+000,6.332593E+001,6.209084E+001,6.541963E+001,3.525273E+001
91,07/05/17 08:00:00,07/05/17 12:00:00,2.339373E+003,1.423974E+003,9.143684E+002,1.030780E+000,7.208830E+001,7.092207E+001,7.411749E+001,2.805037E+001
92,07/05/17 08:00:00,07/05/17 12:00:00,2.380709E+003,1.557171E+003,8.227202E+002,8.181154E-001,7.336210E+001,7.755608E+001,6.668861E+001,2.226318E+001
93,07/05/17 08:00:00,07/05/17 12:00:00,1.918943E+003,1.470794E+003,4.471865E+002,9.619170E-001,5.913265E+001,7.325401E+001,3.624834E+001,2.617642E+001
94,07/05/17 08:00:00,07/05/17 12:00:00,1.542279E+003,1.409371E+003,1.318495E+002,1.058512E+000,4.752568E+001,7.019480E+001,1.068754E+001,2.880503E+001
95,07/05/17 08:00:00,07/05/17 12:00:00,1.292681E+003,1.291438E+003,0.000000E+000,1.243224E+000,3.983426E+001,6.432104E+001,0.000000E+000,3.383157E+001
96,07/05/17 08:00:00,07/05/17 12:00:00,4.658160E+002,4.636694E+002,0.000000E+000,2.146629E+000,1.435423E+001,2.309340E+001,0.000000E+000,5.841570E+001
97,07/05/17 08:00:00,07/05/17 12:00:00,4.567417E+002,4.546263E+002,0.000000E+000,2.115422E+000,1.407460E+001,2.264300E+001,0.000000E+000,5.756648E+001
98,07/05/17 08:00:00,07/05/17 12:00:00,8.104203E+002,8.084944E+002,0.000000E+000,1.925986E+000,2.497328E+001,4.026767E+001,0.000000E+000,5.241140E+001
99,07/05/17 08:00:00,07/05/17 12:00:00,1.046216E+003,1.044594E+003,0.000000E+000,1.622604E+000,3.223939E+001,5.202677E+001,0.000000E+000,4.415552E+001
100,07/05/17 08:00:00,07/05/17 12:00:00,1.477786E+003,1.394745E+003,8.192941E+001,1.111963E+000,4.553832E+001,6.946632E+001,6.641089E+000,3.025958E+001
101,07/05/17 08:00:00,07/05/17 12:00:00,1.899502E+003,1.433045E+003,4.654216E+002,1.035460E+000,5.853357E+001,7.137387E+001,3.772646E+001,2.817771E+001
102,07/05/17 08:00:00,07/05/17 12:00:00,1.836629E+003,1.528645E+003,3.071100E+002,8.743578E-001,5.659615E+001,7.613532E+001,2.489393E+001,2.379369E+001
103,07/05/17 08:00:00,07/05/17 12:00:00,2.016807E+003,1.482511E+003,5.333480E+002,9.489068E-001,6.214838E+001,7.383755E+001,4.323249E+001,2.582237E+001
104,07/05/17 08:00:00,07/05/17 12:00:00,1.252794E+003,1.125869E+003,1.254251E+002,1.499460E+000,3.860512E+001,5.607475E+001,1.016680E+001,4.080443E+001
105,07/05/17 08:00:00,07/05/17 12:00:00,1.510363E+003,1.137039E+003,3.718066E+002,1.516510E+000,4.654216E+001,5.663110E+001,3.013815E+001,4.126842E+001
106,07/05/17 08:00:00,07/05/17 12:00:00,1.764818E+003,1.215650E+003,5.477595E+002,1.408903E+000,5.438327E+001,6.054634E+001,4.440066E+001,3.834014E+001
107,07/05/17 08:00:00,07/05/17 12:00:00,1.519751E+003,1.101955E+003,4.162195E+002,1.576749E+000,4.683147E+001,5.488369E+001,3.373820E+001,4.290768E+001
108,07/05/17 08:00:00,07/05/17 12:00:00,1.654584E+003,1.144228E+003,5.088289E+002,1.526662E+000,5.098637E+001,5.698914E+001,4.124499E+001,4.154470E+001
109,07/05/17 08:00:00,07/05/17 12:00:00,1.238081E+003,1.047287E+003,1.891860E+002,1.608227E+000,3.815175E+001,5.216092E+001,1.533517E+001,4.376430E+001
110,07/05/17 08:00:00,07/05/17 12:00:00,8.719747E+002,8.701743E+002,0.000000E+000,1.800367E+000,2.687010E+001,4.333968E+001,0.000000E+000,4.899294E+001
111,07/05/17 08:00:00,07/05/17 12:00:00,9.248046E+002,7.063073E+002,2.163699E+002,2.127389E+000,2.849806E+001,3.517816E+001,1.753866E+001,5.789214E+001
112,07/05/17 08:00:00,07/05/17 12:00:00,1.521562E+003,1.443533E+003,7.702934E+001,9.997646E-001,4.688727E+001,7.189623E+001,6.243896E+000,2.720635E+001
113,07/05/17 08:00:00,07/05/17 12:00:00,1.314784E+003,1.313566E+003,0.000000E+000,1.217880E+000,4.051536E+001,6.542314E+001,0.000000E+000,3.314188E+001
114,07/05/17 08:00:00,07/05/17 12:00:00,1.300015E+003,1.242205E+003,5.647697E+001,1.332929E+000,4.006025E+001,6.186894E+001,4.577948E+000,3.627267E+001
115,07/05/17 08:00:00,07/05/17 12:00:00,1.467867E+003,1.396591E+003,7.018127E+001,1.093979E+000,4.523264E+001,6.955828E+001,5.688801E+000,2.977020E+001
116,07/05/17 08:00:00,07/05/17 12:00:00,1.462151E+003,1.377614E+003,8.340056E+001,1.136124E+000,4.505651E+001,6.861311E+001,6.760339E+000,3.091708E+001
117,07/05/17 08:00:00,07/05/17 12:00:00,1.284460E+003,1.016365E+003,2.664544E+002,1.640829E+000,3.958092E+001,5.062081E+001,2.159844E+001,4.465150E+001
118,07/05/17 08:00:00,07/05/17 12:00:00,1.932181E+003,1.325323E+003,6.056376E+002,1.221362E+000,5.954060E+001,6.600868E+001,4.909218E+001,3.323664E+001
119,07/05/17 08:00:00,07/05/17 12:00:00,1.916574E+003,1.248615E+003,6.666025E+002,1.356319E+000,5.905965E+001,6.218820E+001,5.403392E+001,3.690918E+001
